Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.7656E-05,0.2277,0.058361,0,0,0,6.0193,0.056171,6.0708E-07,-1.5535E-06,0.063954,-0.01956,0.079553,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/base_link.STL,,upper_body-1,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
cont_1,-0.0059438,-0.050574,-0.071771,0,0,0,0.33847,0.0029734,-1.3483E-06,-1.9134E-06,0.0018709,-0.001064,0.0011107,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/cont_1.STL,0.74902,0.74902,0.74902,1,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/cont_1.STL,,controller_leg.step-1,Coordinate System2,Axis1,cont_1j,revolute,-0.197,0.11544,0,3.1416,0,3.1416,base_link,1,0,0,200,3,-1.57,1.57,,,,,,,,
Rleg_4,0.019595,-0.08507,0.087227,0,0,0,0.41509,0.007393,-0.00012016,0.00012621,0.0038886,0.0035953,0.0036625,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/Rleg_4.STL,0.74902,0.74902,0.74902,1,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/Rleg_4.STL,,left leg with wheels.step-1,Coordinate System7,Axis4,Rleg_4j,revolute,-0.012,-0.144,-0.20436,0,0,0,cont_1,1,0,0,0,0,-1.57,1.57,,,,,,,,
cran_2,-0.00068276,-0.073465,-0.043739,0,0,0,0.12244,0.00053017,-7.3414E-06,-4.272E-06,0.00015583,-0.00022067,0.00039566,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/cran_2.STL,0.74902,0.74902,0.74902,1,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/cran_2.STL,,crank.step-2,Coordinate System5,Axis2,cran_2j,revolute,-0.195,0.22979,0.16409,3.1416,0,3.1416,base_link,1,0,0,0,0,-1.57,1.57,,,,,,,,
Rleg_3,0.019595,-0.15432,0.15937,0,0,0,0.41509,0.007393,-0.00012016,0.00012621,0.0038886,0.0035953,0.0036625,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/Rleg_3.STL,0.74902,0.74902,0.74902,1,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/Rleg_3.STL,,left leg with wheels.step-1,Coordinate System6,Axis3,Rleg_3j,revolute,-0.01,-0.18911,-0.11242,0,0,0,cran_2,1,0,0,0,0,-1.57,1.57,,,,,,,,
cont_6,-0.18685,0.10309,0.05865,0,0,0,6.3577,0.059144,-9.9635E-07,1.5188E-07,0.065514,-0.018433,0.080974,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/cont_6.STL,0.74902,0.74902,0.74902,1,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/cont_6.STL,,controller_leg.step-2;upper_body-1,Coordinate System9,Axis6,cont_6j,revolute,0.197,0.11544,0,0,0,0,base_link,1,0,0,200,3,-1.57,1.57,,,,,,,,
Lleg_9,0.019595,-0.097984,-0.07242,0,0,0,0.41509,0.007393,-0.00013888,-0.00010527,0.0027421,-0.0034454,0.004809,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/Lleg_9.STL,0.74902,0.74902,0.74902,1,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/Lleg_9.STL,,right leg with wheels.step-1,Coordinate System12,Axis9,Lleg_9j,revolute,-0.01,-0.17127,0.182,0,0,0,cont_6,-1,0,0,0,0,-1.57,1.57,,,,,,,,
cran_7,0.049317,-0.079947,0.03031,0,0,0,0.12244,0.00053017,-7.9118E-06,3.0903E-06,8.7888E-05,0.00016669,0.00046361,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/cran_7.STL,0.74902,0.74902,0.74902,1,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/cran_7.STL,,crank.step-1,Coordinate System10,Axis7,cran_7j,revolute,0.145,0.22977,0.16395,0,0,0,base_link,1,0,0,0,0,-1.57,1.57,,,,,,,,
Lleg_8,0.019595,-0.17793,-0.1325,0,0,0,0.41509,0.007393,-0.00013888,-0.00010527,0.0027421,-0.0034454,0.004809,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/Lleg_8.STL,0.74902,0.74902,0.74902,1,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/Lleg_8.STL,,right leg with wheels.step-1,Coordinate System11,Axis8,Lleg_8j,revolute,0.042,-0.20566,0.078127,0,0,0,cran_7,-1,0,0,0,0,-1.57,1.57,,,,,,,,
left_wheel,0.080855,1.647E-05,-1.4491E-05,0,0,0,0.95801,0.0027027,4.6869E-07,-3.4787E-07,0.0015854,-1.5648E-08,0.0015853,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://sbr_urdf_modified1/meshes/left_wheel.STL,,"Motor, BLDC, Hoverboard Wheel, 6.5in.stp-2",Coordinate System8,Axis5,left_wheel_j,continuous,-0.17363,-0.21975,0.0060512,3.1416,0,3.1416,base_link,1,0.00013999,-0.00011825,500,5,-3.14,3.14,,,,,,,,
